city,timestamp,temperature,season
New York,2010-01-01,-7.000078146408164,winter
New York,2010-01-02,0.25116346823683866,winter
New York,2010-01-03,-5.185995017945427,winter
New York,2010-01-04,5.9944642726401085,winter
New York,2010-01-05,-1.8876984602739122,winter
New York,2010-01-06,-0.3486157167623284,winter
New York,2010-01-07,-5.374633277143492,winter
New York,2010-01-08,-1.2694926813674055,winter
New York,2010-01-09,-6.941519214352932,winter
New York,2010-01-10,-2.4777602596447648,winter
New York,2010-01-11,-1.6219961940463292,winter
New York,2010-01-12,11.581437226916906,winter
New York,2010-01-13,-0.06263316139884309,winter
New York,2010-01-14,10.500798260675131,winter
New York,2010-01-15,-6.0594346981271325,winter
New York,2010-01-16,0.8499104362927018,winter
New York,2010-01-17,5.559543680901687,winter
New York,2010-01-18,6.542934643097648,winter
New York,2010-01-19,-3.411582295909188,winter
New York,2010-01-20,8.51383041211109,winter
New York,2010-01-21,7.978367548116482,winter
New York,2010-01-22,-3.8272816267497567,winter
New York,2010-01-23,0.6749453878120057,winter
New York,2010-01-24,7.002230743381352,winter
New York,2010-01-25,0.24390169960632038,winter
New York,2010-01-26,-8.0796517570069,winter
New York,2010-01-27,3.5366374848730504,winter
New York,2010-01-28,1.2263191911251348,winter
New York,2010-01-29,-3.8960050244830606,winter
New York,2010-01-30,4.650682023115927,winter
New York,2010-01-31,-6.3668400987577645,winter
New York,2010-02-01,8.692022348902958,winter
New York,2010-02-02,5.7442891625544785,winter
New York,2010-02-03,-2.3562010325590466,winter
New York,2010-02-04,-9.748813244385369,winter
New York,2010-02-05,0.8239581714577895,winter
New York,2010-02-06,6.06529964044584,winter
New York,2010-02-07,8.458868752544564,winter
New York,2010-02-08,-1.3170142677082985,winter
New York,2010-02-09,-0.10887581775378327,winter
New York,2010-02-10,2.8968882350554157,winter
New York,2010-02-11,0.41298320662402,winter
New York,2010-02-12,-3.511615324598286,winter
New York,2010-02-13,-0.3535551265343729,winter
New York,2010-02-14,-4.785347778632375,winter
New York,2010-02-15,-2.2223754323844607,winter
New York,2010-02-16,-2.769552028577134,winter
New York,2010-02-17,11.172531937180853,winter
New York,2010-02-18,-1.2655274996080288,winter
New York,2010-02-19,2.3668185797348187,winter
New York,2010-02-20,7.332488237994427,winter
New York,2010-02-21,1.5850269005750257,winter
New York,2010-02-22,-7.503575251133067,winter
New York,2010-02-23,6.250754085586997,winter
New York,2010-02-24,-2.575049432546294,winter
New York,2010-02-25,-7.839689176580656,winter
New York,2010-02-26,2.724925307969982,winter
New York,2010-02-27,3.9759860711892387,winter
New York,2010-02-28,7.343407427833762,winter
New York,2010-03-01,2.877803409105944,spring
New York,2010-03-02,-1.8843806576879452,spring
New York,2010-03-03,7.037263957963068,spring
New York,2010-03-04,14.142922253032525,spring
New York,2010-03-05,5.421182094299474,spring
New York,2010-03-06,14.058613406344971,spring
New York,2010-03-07,11.437489002955953,spring
New York,2010-03-08,6.771279656073181,spring
New York,2010-03-09,15.512822085994026,spring
New York,2010-03-10,8.259959770859487,spring
New York,2010-03-11,-1.2144456503879155,spring
New York,2010-03-12,19.295751072648795,spring
New York,2010-03-13,13.385522170841105,spring
New York,2010-03-14,10.765207401899918,spring
New York,2010-03-15,1.0790712276977423,spring
New York,2010-03-16,14.64762367066,spring
New York,2010-03-17,8.528202578420629,spring
New York,2010-03-18,3.882197407785629,spring
New York,2010-03-19,12.940693963857644,spring
New York,2010-03-20,1.106308223826499,spring
New York,2010-03-21,12.949899798822479,spring
New York,2010-03-22,5.598969746031185,spring
New York,2010-03-23,8.114338880316417,spring
New York,2010-03-24,15.689144995035228,spring
New York,2010-03-25,6.871450824801909,spring
New York,2010-03-26,14.065662637777685,spring
New York,2010-03-27,13.64711739793429,spring
New York,2010-03-28,15.151527473158726,spring
New York,2010-03-29,7.525052362631853,spring
New York,2010-03-30,10.323846975266703,spring
New York,2010-03-31,16.995945302545024,spring
New York,2010-04-01,4.946299867132524,spring
New York,2010-04-02,11.001043051124753,spring
New York,2010-04-03,14.965082884582792,spring
New York,2010-04-04,9.942753462867763,spring
New York,2010-04-05,11.124694368040622,spring
New York,2010-04-06,14.128067998020722,spring
New York,2010-04-07,14.71305203696116,spring
New York,2010-04-08,13.631676092348213,spring
New York,2010-04-09,16.867151956244175,spring
